ORGANISM_ID|ORGANISM_NAME|ORGANISM_LEVEL|PARENT_ID|PARENT_NAME
153|Aspergillus|3|2|Trichocomaceae
1724|Aspergillus acidus|3|2|Trichocomaceae
1728|Aspergillus aculeatinus|3|2|Trichocomaceae
1370|Aspergillus aculeatus|3|2|Trichocomaceae
4053|Aspergillus aegyptiacus|3|2|Trichocomaceae
1731|Aspergillus affinis|3|2|Trichocomaceae
1733|Aspergillus alabamensis|3|2|Trichocomaceae
1734|Aspergillus albertensis|3|2|Trichocomaceae
1737|Aspergillus allahabadii|3|2|Trichocomaceae
1460|Aspergillus alliaceus|3|2|Trichocomaceae
1743|Aspergillus amoenus|3|2|Trichocomaceae
142|Aspergillus amstelodami|3|2|Trichocomaceae
1750|Aspergillus arachidicola|3|2|Trichocomaceae
3924|Aspergillus arcoverdensis|3|2|Trichocomaceae
3925|Aspergillus ardalensis|3|2|Trichocomaceae
1697|Aspergillus arenarius|3|2|Trichocomaceae
1758|Aspergillus asperescens|3|2|Trichocomaceae
1768|Aspergillus aureofulgens|3|2|Trichocomaceae
1770|Aspergillus aureolatus|3|2|Trichocomaceae
1773|Aspergillus aureoterreus|3|2|Trichocomaceae
1775|Aspergillus aureus|3|2|Trichocomaceae
1776|Aspergillus auricomus|3|2|Trichocomaceae
1778|Aspergillus austroafricanus|3|2|Trichocomaceae
1779|Aspergillus avenaceus|3|2|Trichocomaceae
1412|Aspergillus awamori|3|2|Trichocomaceae
4152|Aspergillus banksianus|3|2|Trichocomaceae
1792|Aspergillus bombycis|3|2|Trichocomaceae
1795|Aspergillus brasiliensis|3|2|Trichocomaceae
1798|Aspergillus bridgeri|3|2|Trichocomaceae
1682|Aspergillus caelatus|3|2|Trichocomaceae
540|Aspergillus caespitosus|3|2|Trichocomaceae
1806|Aspergillus calidoustus|3|2|Trichocomaceae
277|Aspergillus campestris|3|2|Trichocomaceae
278|Aspergillus candidus|3|2|Trichocomaceae
129|Aspergillus carbonarius|3|2|Trichocomaceae
1632|Aspergillus carneus|3|2|Trichocomaceae
1591|Aspergillus cervinus|3|2|Trichocomaceae
143|Aspergillus chevalieri|3|2|Trichocomaceae
1817|Aspergillus chinensis|3|2|Trichocomaceae
1402|Aspergillus clavatus|3|2|Trichocomaceae
1846|Aspergillus costaricensis|3|2|Trichocomaceae
1849|Aspergillus creber|3|2|Trichocomaceae
1852|Aspergillus cretensis|3|2|Trichocomaceae
1854|Aspergillus cristatus|3|2|Trichocomaceae
1855|Aspergillus crustosus|3|2|Trichocomaceae
1859|Aspergillus cvjetkovicii|3|2|Trichocomaceae
1861|Aspergillus deflectus|3|2|Trichocomaceae
1863|Aspergillus delacroxii|3|2|Trichocomaceae
1870|Aspergillus desertorum|3|2|Trichocomaceae
1873|Aspergillus dimorphicus|3|2|Trichocomaceae
1880|Aspergillus duricaulis|3|2|Trichocomaceae
1882|Aspergillus eburneocremeus|3|2|Trichocomaceae
1885|Aspergillus echinulatus|3|2|Trichocomaceae
1887|Aspergillus effusus|3|2|Trichocomaceae
1890|Aspergillus elegans|3|2|Trichocomaceae
1895|Aspergillus erythrocephalus|3|2|Trichocomaceae
1896|Aspergillus eucalypticola|3|2|Trichocomaceae
1897|Aspergillus falconensis|3|2|Trichocomaceae
1899|Aspergillus felis|3|2|Trichocomaceae
1548|Aspergillus fennelliae|3|2|Trichocomaceae
1446|Aspergillus fischeri|3|2|Trichocomaceae
1400|Aspergillus flavipes|3|2|Trichocomaceae
1915|Aspergillus flavofurcatus|3|2|Trichocomaceae
19|Aspergillus flavus|3|2|Trichocomaceae
1918|Aspergillus floccosus|3|2|Trichocomaceae
1917|Aspergillus flocculosus|3|2|Trichocomaceae
1921|Aspergillus foeniculicola|3|2|Trichocomaceae
1922|Aspergillus foetidus|3|2|Trichocomaceae
130|Aspergillus fonsecaeus|3|2|Trichocomaceae
1925|Aspergillus fresenii|3|2|Trichocomaceae
1933|Aspergillus fumigatiaffinis|3|2|Trichocomaceae
152|Aspergillus fumigatus|3|2|Trichocomaceae
1935|Aspergillus fumisynnematus|3|2|Trichocomaceae
1468|Aspergillus funiculosus|3|2|Trichocomaceae
1575|Aspergillus giganteus|3|2|Trichocomaceae
1691|Aspergillus glaucus|3|2|Trichocomaceae
1946|Aspergillus globosus|3|2|Trichocomaceae
1948|Aspergillus gorakhpurensis|3|2|Trichocomaceae
1955|Aspergillus griseoaurantiacus|3|2|Trichocomaceae
1959|Aspergillus haitiensis|3|2|Trichocomaceae
1966|Aspergillus heteromorphus|3|2|Trichocomaceae
1968|Aspergillus heyangensis|3|2|Trichocomaceae
1971|Aspergillus homomorphus|3|2|Trichocomaceae
1972|Aspergillus hortae|3|2|Trichocomaceae
1973|Aspergillus humicola|3|2|Trichocomaceae
1975|Aspergillus ibericus|3|2|Trichocomaceae
1977|Aspergillus iizukae|3|2|Trichocomaceae
1978|Aspergillus implicatus|3|2|Trichocomaceae
1982|Aspergillus indologenus|3|2|Trichocomaceae
320|Aspergillus insuetus|3|2|Trichocomaceae
1699|Aspergillus insulicola|3|2|Trichocomaceae
1527|Aspergillus janus|3|2|Trichocomaceae
1356|Aspergillus japonicus|3|2|Trichocomaceae
1993|Aspergillus jensenii|3|2|Trichocomaceae
1995|Aspergillus kanagawaensis|3|2|Trichocomaceae
1678|Aspergillus karnatakaensis|3|2|Trichocomaceae
1998|Aspergillus keveii|3|2|Trichocomaceae
2340|Aspergillus kumbius|3|2|Trichocomaceae
2001|Aspergillus laciniosus|3|2|Trichocomaceae
2002|Aspergillus lacticoffeatus|3|2|Trichocomaceae
2004|Aspergillus lanosus|3|2|Trichocomaceae
2007|Aspergillus lentulus|3|2|Trichocomaceae
2009|Aspergillus leporis|3|2|Trichocomaceae
2012|Aspergillus longivesica|3|2|Trichocomaceae
2015|Aspergillus luchuensis|3|2|Trichocomaceae
2018|Aspergillus luteovirescens|3|2|Trichocomaceae
2019|Aspergillus lutescens|3|2|Trichocomaceae
3879|Aspergillus Maggi|3|2|Trichocomaceae
543|Aspergillus melleus|3|2|Trichocomaceae
1399|Aspergillus microcysticus|3|2|Trichocomaceae
2039|Aspergillus micronesiensis|3|2|Trichocomaceae
2044|Aspergillus minisclerotigenes|3|2|Trichocomaceae
2046|Aspergillus minutus|3|2|Trichocomaceae
144|Aspergillus multicolor|3|2|Trichocomaceae
2355|Aspergillus mulundensis|3|2|Trichocomaceae
2058|Aspergillus muricatus|3|2|Trichocomaceae
4214|Aspergillus nanangensis|3|2|Trichocomaceae
2067|Aspergillus neoafricanus|3|2|Trichocomaceae
2071|Aspergillus neoindicus|3|2|Trichocomaceae
2073|Aspergillus neoniger|3|2|Trichocomaceae
2074|Aspergillus neoniveus|3|2|Trichocomaceae
128|Aspergillus nidulans|3|2|Trichocomaceae
283|Aspergillus niger|3|2|Trichocomaceae
2077|Aspergillus nigricans|3|2|Trichocomaceae
2079|Aspergillus niveoglaucus|3|2|Trichocomaceae
1618|Aspergillus niveus|3|2|Trichocomaceae
2081|Aspergillus nominus|3|2|Trichocomaceae
20|Aspergillus nomius|3|2|Trichocomaceae
2082|Aspergillus novofumigatus|3|2|Trichocomaceae
2087|Aspergillus occultus|3|2|Trichocomaceae
2088|Aspergillus ochraceopetaliformis|3|2|Trichocomaceae
2089|Aspergillus ochraceoroseus|3|2|Trichocomaceae
3|Aspergillus ochraceus|3|2|Trichocomaceae
2092|Aspergillus oerlinghausenensis|3|2|Trichocomaceae
2093|Aspergillus olivaceofuscus|3|2|Trichocomaceae
2098|Aspergillus onikii|3|2|Trichocomaceae
234|Aspergillus oryzae|3|2|Trichocomaceae
1408|Aspergillus ostianus|3|2|Trichocomaceae
2106|Aspergillus pallidofulvus|3|2|Trichocomaceae
1457|Aspergillus panamensis|3|2|Trichocomaceae
21|Aspergillus parasiticus|3|2|Trichocomaceae
2112|Aspergillus parvisclerotigenus|3|2|Trichocomaceae
2110|Aspergillus parvulus|3|2|Trichocomaceae
2118|Aspergillus penicillioides|3|2|Trichocomaceae
2123|Aspergillus persii|3|2|Trichocomaceae
1703|Aspergillus phoenicis|3|2|Trichocomaceae
2130|Aspergillus piperis|3|2|Trichocomaceae
4187|Aspergillus porosus|3|2|Trichocomaceae
2142|Aspergillus pseudocarbonarius|3|2|Trichocomaceae
2143|Aspergillus pseudocitricus|3|2|Trichocomaceae
2145|Aspergillus pseudodeflectus|3|2|Trichocomaceae
2147|Aspergillus pseudoelegans|3|2|Trichocomaceae
2148|Aspergillus pseudofischeri|3|2|Trichocomaceae
2154|Aspergillus pseudonomius|3|2|Trichocomaceae
2155|Aspergillus pseudotamarii|3|2|Trichocomaceae
2156|Aspergillus pseudoterreus|3|2|Trichocomaceae
2159|Aspergillus pulchellus|3|2|Trichocomaceae
2160|Aspergillus pulmonum-hominis|3|2|Trichocomaceae
2161|Aspergillus pulverulentus|3|2|Trichocomaceae
2163|Aspergillus pulvinus|3|2|Trichocomaceae
2164|Aspergillus puniceus|3|2|Trichocomaceae
2168|Aspergillus puulaauensis|3|2|Trichocomaceae
145|Aspergillus quadrilineatus|3|2|Trichocomaceae
1592|Aspergillus quercinus|3|2|Trichocomaceae
2177|Aspergillus quitensis|3|2|Trichocomaceae
3877|Aspergillus rambellii|3|2|Trichocomaceae
1608|Aspergillus repens|3|2|Trichocomaceae
1623|Aspergillus restrictus|3|2|Trichocomaceae
2189|Aspergillus roseoglobosus|3|2|Trichocomaceae
2190|Aspergillus roseoglobulosus|3|2|Trichocomaceae
2192|Aspergillus roseus|3|2|Trichocomaceae
146|Aspergillus ruber|3|2|Trichocomaceae
1562|Aspergillus rugulosus|3|2|Trichocomaceae
2196|Aspergillus rugulovalvus|3|2|Trichocomaceae
2199|Aspergillus saccharolyticus|3|2|Trichocomaceae
1405|Aspergillus saitoi|3|2|Trichocomaceae
2201|Aspergillus salwaensis|3|2|Trichocomaceae
2207|Aspergillus sclerotiicarbonarius|3|2|Trichocomaceae
2208|Aspergillus sclerotioniger|3|2|Trichocomaceae
1588|Aspergillus sclerotiorum|3|2|Trichocomaceae
2211|Aspergillus septatus|3|2|Trichocomaceae
2210|Aspergillus sesamicola|3|2|Trichocomaceae
450|Aspergillus silvaticus|3|2|Trichocomaceae
2215|Aspergillus similanensis|3|2|Trichocomaceae
1612|Aspergillus simplicissimum|3|2|Trichocomaceae
515|Aspergillus sojae|3|2|Trichocomaceae
2220|Aspergillus spathulatus|3|2|Trichocomaceae
1719|Aspergillus stellatus|3|2|Trichocomaceae
2242|Aspergillus steynii|3|2|Trichocomaceae
2249|Aspergillus subramanianii|3|2|Trichocomaceae
2256|Aspergillus subversicolor|3|2|Trichocomaceae
544|Aspergillus sulphureus|3|2|Trichocomaceae
1404|Aspergillus sydowii|3|2|Trichocomaceae
2261|Aspergillus taichungensis|3|2|Trichocomaceae
2351|Aspergillus tamari|3|2|Trichocomaceae
2267|Aspergillus tardus|3|2|Trichocomaceae
2270|Aspergillus tennesseensis|3|2|Trichocomaceae
12|Aspergillus terreus|3|2|Trichocomaceae
2278|Aspergillus tiraboschii|3|2|Trichocomaceae
2281|Aspergillus tonophilus|3|2|Trichocomaceae
2282|Aspergillus toxicarius|3|2|Trichocomaceae
2285|Aspergillus tritici|3|2|Trichocomaceae
131|Aspergillus tubingensis|3|2|Trichocomaceae
147|Aspergillus unguis|3|2|Trichocomaceae
2297|Aspergillus unilateralis|3|2|Trichocomaceae
133|Aspergillus ustus|3|2|Trichocomaceae
2301|Aspergillus vadensis|3|2|Trichocomaceae
18|Aspergillus variecolor|3|2|Trichocomaceae
2309|Aspergillus venezuelensis|3|2|Trichocomaceae
134|Aspergillus versicolor|3|2|Trichocomaceae
3875|Aspergillus vinaceus|3|2|Trichocomaceae
2312|Aspergillus violaceofuscus|3|2|Trichocomaceae
2313|Aspergillus violaceus|3|2|Trichocomaceae
1472|Aspergillus viridinutans|3|2|Trichocomaceae
2320|Aspergillus waksmani|3|2|Trichocomaceae
1513|Aspergillus wentii|3|2|Trichocomaceae
2326|Aspergillus westerdijkiae|3|2|Trichocomaceae
2327|Aspergillus westlandensis|3|2|Trichocomaceae
2331|Aspergillus zhaoqingensis|3|2|Trichocomaceae
1378|Aspergillus zonatus|3|2|Trichocomaceae
4272|JSC-093350089|3|153|Aspergillus
4043|(CMB-M081F)|4|153|Aspergillus
4093|(DSM-7428)|4|3|Aspergillus ochraceus
4123|(Eidam) Winter|4|128|Aspergillus nidulans
4055|(GX1-5E)|4|131|Aspergillus tubingensis
4013|(HKI0499)|4|12|Aspergillus terreus
4083|(IBT 19404)|4|2261|Aspergillus taichungensis
4067|(IBT 28362)|4|2207|Aspergillus sclerotiicarbonarius
4128|(IFM 4482)|4|152|Aspergillus fumigatus
4091|(J-4)|4|152|Aspergillus fumigatus
4003|(MF357)|4|1404|Aspergillus sydowii
4126|(No. GX7-3B)|4|12|Aspergillus terreus
4061|(NOY-2)|4|234|Aspergillus oryzae
4124|(NRRL 13137)|4|20|Aspergillus nomius
4181|(NRRL 6273)|4|12|Aspergillus terreus
3977|(SF-5044)|4|153|Aspergillus
4109|(strain C-F-3)|4|19|Aspergillus flavus
4035|(strain CF07002)|4|153|Aspergillus
4100|(strain NE-45)|4|153|Aspergillus
3997|(strain UFMGCB 8030)|4|1899|Aspergillus felis
4107|(w-6)|4|153|Aspergillus
4094|(ZHN-7)|4|2261|Aspergillus taichungensis
4269|542|4|12|Aspergillus terreus
4118|085241B|4|153|Aspergillus
4044|85242|4|153|Aspergillus
1687|94102|4|133|Aspergillus ustus
4175|1017|4|146|Aspergillus ruber
4195|102|4|283|Aspergillus niger
3982|125a|4|134|Aspergillus versicolor
2221|16/02/2001|4|153|Aspergillus
4023|16-5B|4|153|Aspergillus
3999|16-5C|4|153|Aspergillus
4188|16D-1|4|1917|Aspergillus flocculosus
4102|2HL-M-8|4|283|Aspergillus niger
4117|3.05358|4|12|Aspergillus terreus
1476|5378|4|12|Aspergillus terreus
1629|95F-1|4|12|Aspergillus terreus
1564|A.R.M. 325|4|1562|Aspergillus rugulosus
1705|A1149|4|128|Aspergillus nidulans
1383|A1163|4|152|Aspergillus fumigatus
4000|A374|4|234|Aspergillus oryzae
1438|A437|4|234|Aspergillus oryzae
4103|AF044|4|153|Aspergillus
2365|AF119|4|153|Aspergillus
3983|AIL8|4|1400|Aspergillus flavipes
1715|AJ-2008001|4|153|Aspergillus
1410|AJ117509|4|153|Aspergillus
4090|AKRN|4|283|Aspergillus niger
4112|AM410|4|283|Aspergillus niger
4194|AS-107|4|1402|Aspergillus clavatus
4052|ATCC 1015|4|283|Aspergillus niger
132|ATCC 15517|4|21|Aspergillus parasiticus
4045|ATCC 18618|4|1446|Aspergillus fischeri
1626|ATCC 20386|4|234|Aspergillus oryzae
26|ATCC 20542|4|12|Aspergillus terreus
1463|ATCC 20655|4|1460|Aspergillus alliaceus
4246|ATCC 20656|4|1460|Aspergillus alliaceus
